#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Tot Cases/ 1M pop,Deaths/ 1M pop,Population
,World,"704,753,890","7,010,681","675,619,811","90,413",899.4,
34,Czechia,"4,759,041","43,517","4,715,206","443,246","4,053","10,736,784"
35,Peru,"4,572,667","222,161","4,350,506","135,751","6,595","33,684,208"
36,Switzerland,"4,453,053","14,452","4,438,309","507,549","1,647","8,773,637"
37,Philippines,"4,140,383","66,864","4,067,381","36,800",594,"112,508,994"
38,South Africa,"4,076,463","102,595","3,912,506","67,095","1,689","60,756,135"
39,Romania,"3,529,735","68,929","3,460,149","185,470","3,622","19,031,335"
40,Denmark,"3,183,756","8,814","3,174,942","545,636","1,511","5,834,950"
41,Singapore,"3,006,155","2,024","3,004,131","505,785",341,"5,943,546"
42,Hong Kong,"2,937,609","14,924","2,916,005","386,309","1,963","7,604,299"
43,Sweden,"2,754,129","27,407","2,726,492","269,511","2,682","10,218,971"
44,New Zealand,"2,621,111","5,697","2,613,791","535,117","1,163","4,898,203"
45,Serbia,"2,615,054","18,057","2,596,608","302,213","2,087","8,653,016"
46,Iraq,"2,465,545","25,375","2,439,497","58,474",602,"42,164,965"
47,Hungary,"2,230,232","49,048","2,152,155","232,164","5,106","9,606,259"
48,Bangladesh,"2,049,377","29,493",N/A,"12,207",176,"167,885,689"
49,Slovakia,"1,877,605","21,224","1,856,381","343,872","3,887","5,460,193"
50,Georgia,"1,861,665","17,132",N/A,"469,082","4,317","3,968,738"
51,Jordan,"1,746,997","14,122","1,731,007","169,597","1,371","10,300,869"
52,Ireland,"1,734,582","9,491","1,724,921","345,521","1,891","5,020,199"
53,Pakistan,"1,581,936","30,664","1,538,689","6,893",134,"229,488,994"
54,Finland,"1,516,117","11,958","1,503,989","272,930","2,153","5,554,960"
55,Norway,"1,509,732","6,638","1,503,094","273,930","1,204","5,511,370"
56,Kazakhstan,"1,411,831","13,848","1,383,020","73,514",721,"19,205,043"
57,Lithuania,"1,397,806","9,897","1,387,478","525,154","3,718","2,661,708"
58,Slovenia,"1,356,546","7,100","1,349,424","652,803","3,417","2,078,034"
59,Bulgaria,"1,339,851","38,748","1,292,944","195,753","5,661","6,844,597"
60,Croatia,"1,309,728","18,687","1,258,432","322,650","4,604","4,059,286"
61,Guatemala,"1,291,293","20,289","1,269,891","69,484","1,092","18,584,039"
62,Morocco,"1,278,992","16,303",N/A,"33,860",432,"37,772,756"
63,Lebanon,"1,243,838","10,952","1,087,587","186,068","1,638","6,684,849"
64,Costa Rica,"1,238,883","9,428",N/A,"239,058","1,819","5,182,354"
65,Bolivia,"1,212,131","22,407","1,177,145","101,073","1,868","11,992,656"
66,Tunisia,"1,153,361","29,423",N/A,"95,741","2,442","12,046,656"
